# SignalP-6.0	Organism: Other	Timestamp: 20240329003430
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
H_sitiens_OTU3_sp__54_scaffold7,63419,f4Z63419_1_52669_53151___gene_type_bacteria	OTHER	0.999999	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU3_sp__55_scaffold7,63419,f4Z63419_1_53172_53501___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU3_sp__212_scaffold10,60314,f17Z60314_1_5983_7734_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 23-24. Pr: 0.9957
H_sitiens_OTU3_sp__544_scaffold54,9001,f50Z9001_1_5067_5615_-_gene_type_bacteria	SP	0.000198	0.999213	0.000162	0.000173	0.000143	0.000136	CS pos: 20-21. Pr: 0.9814
H_sitiens_OTU3_sp__588_scaffold3,91002,f3Z91002_1_17636_19513_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU3_sp__629_scaffold3,91002,f3Z91002_1_57621_58100___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU3_sp__841_scaffold2,108351,f2Z108351_1_81158_81499___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU3_sp__1013_scaffold1,173253,f1Z173253_1_18608_18943_-_gene_type_bacteria	SP	0.167010	0.832121	0.000253	0.000244	0.000191	0.000182	CS pos: 11-12. Pr: 0.7565
H_sitiens_OTU3_sp__1016_scaffold1,173253,f1Z173253_1_22012_23034___gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 22-23. Pr: 0.9946
H_sitiens_OTU3_sp__1018_scaffold1,173253,f1Z173253_1_23366_23833___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU3_sp__1273_scaffold36,21221,f34Z21221_1_3854_4741___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU3_sp__1659_scaffold77,3509,f350Z3509_1_2140_3411___gene_type_bacteria	LIPO	0.000000	0.000000	0.999996	0.000000	0.000000	0.000000	CS pos: 22-23. Pr: 0.9968
H_sitiens_OTU3_sp__1781_scaffold18,50773,f14Z50773_1_29914_30702___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU3_sp__1893_scaffold16,53131,f15Z53131_1_39622_40263___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU3_sp__1894_scaffold16,53131,f15Z53131_1_40278_41435___gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 22-23. Pr: 0.9975
H_sitiens_OTU3_sp__2165_scaffold14,54957,f16Z54957_1_43660_44034_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU3_sp__2166_scaffold14,54957,f16Z54957_1_44000_44938_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU3_sp__2242_scaffold12,57327,f6Z57327_1_3_602_-_gene_type_bacteria_partial_10	OTHER	0.999990	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_018607685_OTU7_fl__192_JABBBA010000261.1_3067_4464_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_018607685_OTU7_fl__253_JABBBA010000299.1_256_1467_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9972
GCA_018607685_OTU7_fl__254_JABBBA010000299.1_1464_2183_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_018607685_OTU7_fl__257_JABBBA010000299.1_4587_5342_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 16-17. Pr: 0.9972
GCA_018607685_OTU7_fl__288_JABBBA010000305.1_4229_5872_-_gene_type_bacteria	SP	0.141980	0.670804	0.186966	0.000101	0.000089	0.000084	CS pos: 37-38. Pr: 0.6491
GCA_018607685_OTU7_fl__298_JABBBA010000320.1_5233_7311_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_018607685_OTU7_fl__428_JABBBA010000362.1_6504_7106___gene_type_bacteria_partial_01	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 17-18. Pr: 0.9955
GCA_018607685_OTU7_fl__476_JABBBA010000382.1_3702_5561_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 19-20. Pr: 0.9961
GCA_018607685_OTU7_fl__1003_JABBBA010000017.1_3150_4088___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_018607685_OTU7_fl__1196_JABBBA010000291.1_866_2512_-_gene_type_bacteria	OTHER	0.999997	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_018607685_OTU7_fl__1214_JABBBA010000051.1_4028_4792_-_gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_018607685_OTU7_fl__1575_JABBBA010000265.1_3_437___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_018607685_OTU7_fl__1685_JABBBA010000328.1_13585_14448___gene_type_archaea	SP	0.000249	0.998998	0.000226	0.000213	0.000169	0.000170	CS pos: 21-22. Pr: 0.9761
GCA_018607685_OTU7_fl__1728_JABBBA010000427.1_2_1000___gene_type_bacteria_partial_10	OTHER	0.999994	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_018607685_OTU7_fl__1781_JABBBA010000414.1_140_3502___gene_type_bacteria_partial_01	OTHER	0.999985	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_018607685_OTU7_fl__1825_JABBBA010000105.1_11557_12315___gene_type_bacteria	SP	0.000657	0.998261	0.000338	0.000297	0.000240	0.000222	CS pos: 18-19. Pr: 0.9076
GCA_018607685_OTU7_fl__2114_JABBBA010000437.1_10226_12163_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 17-18. Pr: 0.9968
GCA_018607685_OTU7_fl__2381_JABBBA010000142.1_11837_12694___gene_type_bacteria	SP	0.000218	0.999112	0.000198	0.000191	0.000150	0.000153	CS pos: 19-20. Pr: 0.9733
GCA_018607685_OTU7_fl__2564_JABBBA010000072.1_9771_11636___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_018607685_OTU7_fl__2640_JABBBA010000450.1_12431_14299_-_gene_type_bacteria	SP	0.000178	0.999269	0.000158	0.000156	0.000125	0.000124	CS pos: 23-24. Pr: 0.9750
GCA_018607685_OTU7_fl__2832_JABBBA010000119.1_1651_3525___gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 18-19. Pr: 0.9974
GCA_018607685_OTU7_fl__2940_JABBBA010000137.1_3_1220_-_gene_type_bacteria_partial_10	PILIN	0.000000	0.000000	0.000000	0.000000	0.000000	0.999984	CS pos: 8-9. Pr: 0.8263
GCA_018607685_OTU7_fl__3269_JABBBA010000135.1_8065_10011___gene_type_bacteria	LIPO	0.000144	0.006105	0.993728	0.000008	0.000001	0.000000	CS pos: 26-27. Pr: 0.9965
GCA_018607685_OTU7_fl__3322_JABBBA010000171.1_3154_5382_-_gene_type_bacteria	OTHER	0.720265	0.279546	0.000072	0.000055	0.000046	0.000046	
GCA_018607685_OTU7_fl__3599_JABBBA010000206.1_3841_7668_-_gene_type_bacteria	SP	0.000326	0.998870	0.000225	0.000215	0.000172	0.000168	CS pos: 23-24. Pr: 0.9802
GCA_007570945_OTU3_sp__371_RKSH01000195.1_10170_10457___gene_type_bacteria_partial_01	OTHER	0.999987	0.000001	0.000000	0.000000	0.000000	0.000000	
GCA_007570945_OTU3_sp__657_RKSH01000085.1_1403_2209___gene_type_bacteria	SP	0.000240	0.999091	0.000192	0.000189	0.000151	0.000153	CS pos: 23-24. Pr: 0.9776
GCA_007570945_OTU3_sp__945_RKSH01000239.1_6287_7294_-_gene_type_bacteria	SP	0.000191	0.999235	0.000164	0.000165	0.000135	0.000129	CS pos: 21-22. Pr: 0.9783
GCA_007570945_OTU3_sp__1164_RKSH01000212.1_360_1193___gene_type_bacteria	SP	0.000198	0.999177	0.000173	0.000166	0.000140	0.000134	CS pos: 21-22. Pr: 0.9800
GCA_007570945_OTU3_sp__1883_RKSH01000141.1_11246_12397_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 20-21. Pr: 0.9965
GCA_007570945_OTU3_sp__1884_RKSH01000141.1_12394_12813_-_gene_type_bacteria_partial_01	OTHER	0.999995	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_007570945_OTU3_sp__1890_RKSH01000150.1_2_277_-_gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_007570945_OTU3_sp__1893_RKSH01000150.1_2009_2749_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 18-19. Pr: 0.9968
Halichondribacter_symbioticus_OTU4_sp__14_OY365741.1_17491_18837_-_gene_type_bacteria	SP	0.000215	0.999142	0.000193	0.000179	0.000138	0.000137	CS pos: 22-23. Pr: 0.9794
Halichondribacter_symbioticus_OTU4_sp__185_OY365741.1_244558_245487___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Halichondribacter_symbioticus_OTU4_sp__217_OY365741.1_287408_287950___gene_type_bacteria	SP	0.000198	0.999256	0.000157	0.000161	0.000128	0.000131	CS pos: 43-44. Pr: 0.9784
Halichondribacter_symbioticus_OTU4_sp__341_OY365741.1_436129_437328_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Halichondribacter_symbioticus_OTU4_sp__369_OY365741.1_472227_473525___gene_type_bacteria	OTHER	0.999971	0.000002	0.000000	0.000000	0.000000	0.000000	
Halichondribacter_symbioticus_OTU4_sp__420_OY365741.1_530724_531449___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Halichondribacter_symbioticus_OTU4_sp__445_OY365741.1_553667_554065___gene_type_bacteria	OTHER	1.000000	0.000002	0.000000	0.000000	0.000000	0.000000	
Halichondribacter_symbioticus_OTU4_sp__469_OY365741.1_580469_581164_-_gene_type_bacteria	SP	0.000388	0.998810	0.000243	0.000219	0.000179	0.000173	CS pos: 21-22. Pr: 0.9745
Halichondribacter_symbioticus_OTU4_sp__470_OY365741.1_581232_581819_-_gene_type_bacteria	SP	0.000371	0.998827	0.000240	0.000224	0.000181	0.000176	CS pos: 21-22. Pr: 0.9756
Halichondribacter_symbioticus_OTU4_sp__471_OY365741.1_581895_582593_-_gene_type_bacteria	SP	0.000402	0.998754	0.000262	0.000231	0.000192	0.000182	CS pos: 22-23. Pr: 0.9772
Halichondribacter_symbioticus_OTU4_sp__845_OY365741.1_993426_994742_-_gene_type_bacteria	SP	0.000461	0.998520	0.000324	0.000281	0.000217	0.000204	CS pos: 26-27. Pr: 0.9738
Halichondribacter_symbioticus_OTU4_sp__860_OY365741.1_1011618_1013345___gene_type_bacteria	SP	0.000160	0.666120	0.333458	0.000104	0.000091	0.000086	CS pos: 27-28. Pr: 0.6516
Halichondribacter_symbioticus_OTU4_sp__929_OY365741.1_1092341_1092928_-_gene_type_bacteria	SP	0.000263	0.999039	0.000207	0.000185	0.000154	0.000149	CS pos: 21-22. Pr: 0.9767
Halichondribacter_symbioticus_OTU4_sp__949_OY365741.1_1114199_1115098_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Halichondribacter_symbioticus_OTU4_sp__1191_OY365741.1_1371521_1372021_-_gene_type_bacteria	SP	0.000441	0.998353	0.000468	0.000271	0.000233	0.000231	CS pos: 22-23. Pr: 0.9667
Halichondribacter_symbioticus_OTU4_sp__1214_OY365741.1_1401851_1402408___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Halichondribacter_symbioticus_OTU4_sp__1298_OY365741.1_1558420_1560576_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Halichondribacter_symbioticus_OTU4_sp__1388_OY365741.1_1679596_1680123___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Halichondribacter_symbioticus_OTU4_sp__1565_OY365741.1_1965473_1966948___gene_type_bacteria	LIPO	0.000000	0.000003	1.000000	0.000000	0.000000	0.000000	CS pos: 28-29. Pr: 0.9970
Halichondribacter_symbioticus_OTU4_sp__1622_OY365741.1_2029639_2030433_-_gene_type_bacteria	SP	0.000337	0.998888	0.000231	0.000216	0.000178	0.000160	CS pos: 28-29. Pr: 0.9779
Halichondribacter_symbioticus_OTU4_sp__1657_OY365741.1_2078736_2079182___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014238615_OTU9_sp__18_JABAAT010000034.1_78_704_-_gene_type_bacteria	OTHER	0.996427	0.000000	0.003559	0.000000	0.000000	0.000000	
GCA_014238615_OTU9_sp__144_JABAAT010000047.1_10576_11337_-_gene_type_archaea	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014238615_OTU9_sp__204_JABAAT010000038.1_45073_45414_-_gene_type_archaea	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014238615_OTU9_sp__275_JABAAT010000038.1_132560_132940___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014238615_OTU9_sp__364_JABAAT010000029.1_3966_4523___gene_type_bacteria	LIPO	0.000045	0.166555	0.833387	0.000019	0.000018	0.000016	CS pos: 18-19. Pr: 0.8140
GCA_014238615_OTU9_sp__433_JABAAT010000043.1_9050_10180_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014238615_OTU9_sp__451_JABAAT010000031.1_3678_4802_-_gene_type_bacteria	SP	0.000221	0.999154	0.000178	0.000179	0.000147	0.000139	CS pos: 39-40. Pr: 0.9728
GCA_014238615_OTU9_sp__514_JABAAT010000026.1_15308_15838_-_gene_type_bacteria	SP	0.000324	0.998790	0.000253	0.000248	0.000197	0.000196	CS pos: 28-29. Pr: 0.9730
GCA_014238615_OTU9_sp__640_JABAAT010000042.1_3497_4597___gene_type_bacteria	SP	0.000227	0.999038	0.000197	0.000202	0.000164	0.000170	CS pos: 18-19. Pr: 0.9754
GCA_014238615_OTU9_sp__641_JABAAT010000042.1_4594_6012___gene_type_bacteria	SP	0.000227	0.999063	0.000189	0.000196	0.000151	0.000163	CS pos: 18-19. Pr: 0.9768
GCA_014238615_OTU9_sp__733_JABAAT010000065.1_2455_4218___gene_type_bacteria	SP	0.167235	0.831844	0.000290	0.000261	0.000200	0.000190	CS pos: 11-12. Pr: 0.7925
GCA_014238615_OTU9_sp__735_JABAAT010000065.1_5656_6666___gene_type_bacteria	OTHER	0.999992	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014238615_OTU9_sp__805_JABAAT010000065.1_61670_63508___gene_type_bacteria	SP	0.000220	0.998981	0.000213	0.000214	0.000178	0.000176	CS pos: 23-24. Pr: 0.9716
GCA_014238615_OTU9_sp__852_JABAAT010000057.1_13068_13595_-_gene_type_bacteria	LIPO	0.000050	0.005300	0.994648	0.000001	0.000000	0.000000	CS pos: 30-31. Pr: 0.9938
GCA_014238615_OTU9_sp__867_JABAAT010000075.1_643_1884_-_gene_type_bacteria	LIPO	0.000036	0.166565	0.833367	0.000017	0.000016	0.000014	CS pos: 19-20. Pr: 0.7746
GCA_014238615_OTU9_sp__880_JABAAT010000024.1_12541_14067___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014238615_OTU9_sp__1047_JABAAT010000018.1_2_1360_-_gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014238615_OTU9_sp__1227_JABAAT010000007.1_26259_27422___gene_type_bacteria	OTHER	1.000000	0.000005	0.000000	0.000000	0.000000	0.000000	
GCA_014238615_OTU9_sp__1307_JABAAT010000006.1_5496_6098_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014238615_OTU9_sp__1348_JABAAT010000048.1_34090_35274_-_gene_type_bacteria	SP	0.000154	0.999323	0.000128	0.000148	0.000127	0.000123	CS pos: 23-24. Pr: 0.9741
GCA_014238615_OTU9_sp__1349_JABAAT010000048.1_35271_36062_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014238615_OTU9_sp__1468_JABAAT010000001.1_5034_6266___gene_type_bacteria	SP	0.000180	0.999211	0.000157	0.000163	0.000141	0.000132	CS pos: 16-17. Pr: 0.9819
GCA_028286085_OTU9_sp__10_JAPYMX010000100.1_2114_3955_-_gene_type_bacteria	SP	0.000591	0.997622	0.000496	0.000472	0.000354	0.000452	CS pos: 24-25. Pr: 0.9743
GCA_028286085_OTU9_sp__57_JAPYMX010000106.1_2821_3618___gene_type_bacteria	SP	0.000447	0.831932	0.166961	0.000278	0.000216	0.000201	CS pos: 36-37. Pr: 0.8063
GCA_028286085_OTU9_sp__59_JAPYMX010000106.1_4565_6274_-_gene_type_bacteria	SP	0.000295	0.998641	0.000249	0.000299	0.000249	0.000259	CS pos: 25-26. Pr: 0.9764
GCA_028286085_OTU9_sp__415_JAPYMX010000157.1_389_1636___gene_type_bacteria	SP	0.000216	0.999138	0.000174	0.000181	0.000141	0.000139	CS pos: 20-21. Pr: 0.9743
GCA_028286085_OTU9_sp__417_JAPYMX010000157.1_2533_4182_-_gene_type_bacteria	SP	0.000282	0.998878	0.000222	0.000241	0.000196	0.000192	CS pos: 26-27. Pr: 0.9840
GCA_028286085_OTU9_sp__621_JAPYMX010000036.1_1_576___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_028286085_OTU9_sp__665_JAPYMX010000040.1_3247_3849___gene_type_bacteria	SP	0.025891	0.972515	0.000541	0.000410	0.000346	0.000311	CS pos: 46-47. Pr: 0.9639
GCA_028286085_OTU9_sp__979_JAPYMX010000084.1_214_1128_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_913056245_OTU23_fl__114_CAJXME010000008.1_582_2351_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_913056245_OTU23_fl__122_CAJXME010000008.1_10241_12007_-_gene_type_bacteria	LIPO	0.000000	0.000002	0.999991	0.000000	0.000000	0.000000	CS pos: 23-24. Pr: 0.9978
GCA_913056245_OTU23_fl__427_CAJXME010000035.1_1259_2704___gene_type_bacteria	SP	0.000553	0.998622	0.000241	0.000228	0.000192	0.000176	CS pos: 50-51. Pr: 0.9586
GCA_913056245_OTU23_fl__596_CAJXME010000054.1_3622_4539_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_913056245_OTU23_fl__1542_CAJXME010000228.1_2722_3210___gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_028286055_OTU14_sp__182_JAPYMW010000126.1_3_1058___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_028286055_OTU14_sp__225_JAPYMW010000132.1_2527_3045___gene_type_bacteria	OTHER	0.999996	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_028286055_OTU14_sp__251_JAPYMW010000136.1_2_1231___gene_type_bacteria_partial_10	LIPO	0.011151	0.053840	0.934547	0.000444	0.000013	0.000008	CS pos: 35-36. Pr: 0.9968
GCA_028286055_OTU14_sp__403_JAPYMW010000155.1_1724_2581___gene_type_bacteria_partial_01	SP	0.000220	0.999072	0.000198	0.000191	0.000158	0.000156	CS pos: 18-19. Pr: 0.9793
GCA_028286055_OTU14_sp__874_JAPYMW010000064.1_2215_2634___gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_028286055_OTU14_sp__993_JAPYMW010000081.1_1498_3228_-_gene_type_bacteria	LIPO	0.000194	0.004184	0.995624	0.000001	0.000000	0.000000	CS pos: 30-31. Pr: 0.9950
GCA_002631715_OTU14_sp__326_MRSX01000002.1_169608_170033_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002631715_OTU14_sp__570_MRSX01000013.1_5877_7202___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002631715_OTU14_sp__618_MRSX01000003.1_1777_2982_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 19-20. Pr: 0.9953
GCA_002631715_OTU14_sp__619_MRSX01000003.1_2969_3601_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002631715_OTU14_sp__698_MRSX01000003.1_87675_89372_-_gene_type_bacteria	LIPO	0.006848	0.039292	0.953849	0.000016	0.000004	0.000000	CS pos: 35-36. Pr: 0.9965
GCA_002631715_OTU14_sp__786_MRSX01000003.1_175561_176697_-_gene_type_bacteria	SP	0.000370	0.958557	0.040298	0.000307	0.000254	0.000252	CS pos: 18-19. Pr: 0.9285
GCA_002631715_OTU14_sp__816_MRSX01000003.1_209131_209778_-_gene_type_bacteria	SP	0.012138	0.803545	0.183735	0.000227	0.000192	0.000179	CS pos: 21-22. Pr: 0.7314
GCA_002631715_OTU14_sp__1038_MRSX01000003.1_433511_435187___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002631715_OTU14_sp__1124_MRSX01000004.1_66729_67586___gene_type_bacteria	SP	0.000459	0.998634	0.000276	0.000267	0.000206	0.000186	CS pos: 32-33. Pr: 0.9766
GCA_002631715_OTU14_sp__1392_MRSX01000008.1_64800_66269___gene_type_bacteria	SP	0.000193	0.999198	0.000167	0.000182	0.000146	0.000142	CS pos: 31-32. Pr: 0.9732
GCA_002631715_OTU14_sp__1399_MRSX01000008.1_73108_74118_-_gene_type_bacteria	SP	0.000216	0.665978	0.333489	0.000123	0.000109	0.000100	CS pos: 28-29. Pr: 0.6440
GCA_011522975_OTU23_fl__773_WTHX01000149.1_3919_6183_-_gene_type_bacteria_partial_10	SP	0.000188	0.999251	0.000160	0.000174	0.000137	0.000129	CS pos: 31-32. Pr: 0.9711
GCA_011522975_OTU23_fl__774_WTHX01000149.1_6184_7407_-_gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_011522975_OTU23_fl__947_WTHX01000105.1_2140_2646_-_gene_type_bacteria	SP	0.000276	0.998999	0.000195	0.000214	0.000164	0.000160	CS pos: 37-38. Pr: 0.9695
GCA_011522975_OTU23_fl__972_WTHX01000001.1_3314_4243_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_011522975_OTU23_fl__1002_WTHX01000125.1_3224_4546_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9973
GCA_011522975_OTU23_fl__1003_WTHX01000125.1_4551_5174_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_011522975_OTU23_fl__1008_WTHX01000136.1_82_1683___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_011522975_OTU23_fl__1009_WTHX01000136.1_1694_3427_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_011522975_OTU23_fl__1253_WTHX01000156.1_16693_18039_-_gene_type_bacteria	SP	0.000227	0.999048	0.000193	0.000203	0.000157	0.000163	CS pos: 39-40. Pr: 0.9693
GCA_011522975_OTU23_fl__1370_WTHX01000097.1_3599_4873___gene_type_bacteria	OTHER	0.818932	0.180894	0.000059	0.000036	0.000035	0.000030	
GCA_011522975_OTU23_fl__1584_WTHX01000174.1_1623_3404_-_gene_type_bacteria	LIPO	0.000410	0.196980	0.802527	0.000037	0.000018	0.000016	CS pos: 33-34. Pr: 0.8259
H_sitiens_OTU7_sp__645_scaffold12,65478,f10Z65478_1_21741_23393_-_gene_type_bacteria	OTHER	0.999993	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU7_sp__984_scaffold9,74996,f14Z74996_1_39045_41000_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 15-16. Pr: 0.9972
H_sitiens_OTU7_sp__1037_scaffold7,81811,f22Z81811_1_96_2324___gene_type_bacteria	OTHER	0.935763	0.064203	0.000026	0.000021	0.000016	0.000016	
H_sitiens_OTU7_sp__1061_scaffold7,81811,f22Z81811_1_26322_27884_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU7_sp__1298_scaffold5,85873,f8Z85873_1_74781_76550_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU7_sp__1756_scaffold3,102281,f4Z102281_1_470_1900_-_gene_type_bacteria	SP	0.000124	0.832792	0.166781	0.000118	0.000089	0.000091	CS pos: 19-20. Pr: 0.6758
H_sitiens_OTU7_sp__1762_scaffold3,102281,f4Z102281_1_5499_6353___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU7_sp__1781_scaffold3,102281,f4Z102281_1_28655_28945___gene_type_bacteria	SP	0.000389	0.998708	0.000284	0.000254	0.000197	0.000191	CS pos: 17-18. Pr: 0.9699
H_sitiens_OTU7_sp__1783_scaffold3,102281,f4Z102281_1_29546_31201___gene_type_bacteria	OTHER	0.664899	0.334635	0.000158	0.000125	0.000117	0.000093	
H_sitiens_OTU7_sp__1785_scaffold3,102281,f4Z102281_1_32033_32902___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU7_sp__2520_scaffold39,26859,f169Z26859_1_5558_7426_-_gene_type_bacteria	SP	0.000173	0.999310	0.000150	0.000155	0.000123	0.000124	CS pos: 23-24. Pr: 0.9777
H_sitiens_OTU7_sp__2525_scaffold39,26859,f169Z26859_1_14886_16751___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU7_sp__2666_scaffold34,37932,f29Z37932_1_24060_24839_-_gene_type_bacteria	SP	0.000510	0.998617	0.000241	0.000240	0.000193	0.000179	CS pos: 28-29. Pr: 0.9466
